cited_id,citing_id
3832,591
2844,592
2580,592
1917,593
1996,593
1193,593
3871,594
3646,594
3125,594
3297,594
4030,595
756,600
811,603
419,604
1931,604
2519,604
1952,605
3775,605
3811,607
3118,607
3368,607
1991,609
1545,610
3597,611
1889,611
3857,611
639,611
2913,612
2150,612
32,614
3053,614
1573,616
2650,616
1257,616
3142,616
2979,616
2534,616
2008,616
2831,616
3778,617
1965,617
3036,625
3929,625
1743,625
3328,626
3455,629
3238,629
3307,633
2685,633
3507,634
2672,639
3307,641
2986,641
2590,641
3948,641
3459,641
3479,641
1806,641
3209,641
1839,643
3760,643
3597,643
3900,643
3784,643
2967,643
3704,644
3036,644
2083,644
3455,645
3832,645
1908,645
2137,645
3359,646
3036,646
2057,647
1934,647
3507,651
1504,653
3982,653
2685,653
1636,653
1711,653
2443,654
3000,654
3290,654
1647,654
675,655
3847,655
2685,655
2823,655
3288,655
3387,655
342,659
3322,659
994,659
2150,660
2719,660
3456,662
2986,667
1510,667
1504,667
2371,667
2975,668
3499,668
3912,668
3379,668
3554,668
3174,669
3717,669
3003,670
3948,671
3847,671
3675,671
2797,671
3001,671
2095,672
2300,672
1678,672
1510,673
1972,673
1505,673
1504,673
1641,673
1625,673
1885,673
1806,673
2719,674
2452,674
3085,674
3353,674
2553,674
2684,674
2510,675
2605,676
3194,676
2438,676
2735,677
1569,677
2343,677
2684,677
2067,677
3676,677
3160,677
1504,678
3455,678
3243,678
2215,678
3784,679
3705,679
3598,679
3861,682
3819,683
3464,684
3209,684
2617,684
3512,685
3290,685
2725,685
3778,685
2467,686
1853,686
3497,687
1700,687
3320,687
3070,687
1615,687
3771,691
3931,691
3956,691
3815,691
3760,691
2534,694
3849,695
3512,695
1850,696
2231,696
3953,697
1899,697
3496,697
3149,697
2979,700
2831,700
3554,703
3696,703
1683,703
3325,704
2323,704
2844,704
2206,704
1974,704
1853,704
2685,706
2789,706
3745,708
2662,709
2975,709
3379,710
2890,712
3693,713
3913,713
1683,713
2231,714
3505,714
1545,714
1656,716
2757,716
3849,717
1742,717
1816,718
3837,718
2635,720
1578,720
3128,720
3889,724
3695,724
2678,724
3229,724
3429,724
1952,725
3246,725
2459,725
2050,725
2771,725
3695,725
1809,725
3419,731
3307,731
1504,733
2261,733
3070,733
1898,734
3051,734
2398,735
1952,738
725,738
1656,742
3036,742
3493,742
1663,742
3757,744
2887,744
1559,744
3307,744
2479,744
3648,745
3409,745
2534,749
2648,753
2685,754
3929,756
2757,756
2403,763
3948,763
3429,763
3771,763
3667,763
3051,763
3361,763
2882,763
3011,766
3889,766
2050,766
3704,766
2443,766
3603,766
3127,766
1683,766
3379,766
3429,766
2516,766
3434,766
2535,766
3929,766
3036,766
2001,766
3965,767
3287,769
3051,773
3504,773
3180,773
2685,773
3444,773
3307,774
1711,775
2371,775
3805,775
3662,775
1731,777
2176,779
3782,779
3011,779
3887,779
1830,783
3461,786
1734,786
2056,786
1559,787
3497,791
3832,791
2329,791
3685,791
3984,791
3671,791
2772,792
3676,792
3584,799
3967,800
3096,801
3363,801
2879,801
1510,802
1504,802
3107,802
2534,802
2986,802
2875,802
2453,802
2656,802
1742,802
1875,802
3149,802
2088,802
2966,802
3420,806
2806,806
2875,806
2993,806
1875,806
1917,806
3307,807
2150,807
3042,811
2714,815
3704,815
3684,815
3599,815
2968,815
3000,815
3870,815
3603,816
3889,816
3189,816
3375,816
3695,816
3499,816
3332,816
3889,817
2878,817
3429,817
1742,819
2797,819
1936,819
2797,820
3946,820
3001,820
3847,820
3251,820
2507,820
2752,820
1721,822
2393,822
2371,822
3485,824
2583,824
1504,824
2789,824
2685,824
1922,824
2751,825
1641,825
3258,827
1614,827
3007,827
3166,828
3685,828
3984,828
1445,831
3551,832
3668,832
3911,832
3928,832
3724,832
3012,832
3107,832
1510,836
2685,837
4031,839
3623,839
3451,839
2179,839
3969,839
3139,839
3485,841
2179,842
2709,842
3307,842
2371,842
1504,844
3504,844
2150,844
2685,844
2656,844
1636,844
3307,844
2479,844
3504,846
1950,848
3694,848
2901,848
4038,854
3675,855
3693,856
1567,856
2952,856
3989,856
3107,856
2803,856
2912,856
3209,856
3913,856
3280,856
2078,856
3479,857
3760,857
3512,859
2924,859
3290,859
3464,861
3444,865
3335,865
3036,865
3290,865
2001,866
1646,867
3757,868
3953,868
3036,868
3929,868
3809,870
3307,870
3982,870
2534,870
1656,877
3825,877
3128,877
3953,877
2443,877
3704,877
3361,879
3485,882
2797,882
2050,882
2685,882
3307,882
2411,882
1504,884
1711,884
3444,885
3290,885
3210,885
3825,885
1557,886
2814,886
2298,886
2371,887
3307,887
2479,887
1510,887
3485,887
2472,887
2951,887
3742,889
2067,889
2300,889
1731,889
2719,889
1711,890
2403,894
2992,894
2717,895
2642,897
1504,898
3307,898
1742,898
3397,898
3825,898
3238,898
3771,898
3828,898
3251,898
2150,898
2685,898
2887,898
1526,899
3984,900
1510,904
1950,906
3429,907
3127,907
3098,907
2725,907
2535,907
3322,911
3028,913
2924,914
3096,914
3760,914
3272,914
2098,914
2459,914
3307,915
2951,915
1825,915
1824,915
